Data,Study,Trait,Sample1,Sample2,AuthorDate,Data.type,Citation,Species,System,Order,Sex,GenPhen,AlloSyn,Autonomous,Trait,Dimensionality (k),BodySizeCorrelated,Years,GLength,Darwins,Darwins.num,Darwins.num.abs,Darwins (standardized by k),Haldanes,Generations,log10.gens,h.num,Darwin.Numerator,log10.years,d,InSitu
36,1,1,HAST,NELN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-24.59667859,-0.005509656,0.005509656,-24.59667859,NA,223.9999998,2.350248018,NA,0.005509656,2.350248018,-0.005509656,2
37,1,1,HAST,AUCK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
38,1,1,HAST,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
39,1,1,HAST,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
40,1,1,HAST,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
41,1,1,HAST,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
42,1,1,HAST,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-75.54945906,-0.016620881,0.016620881,-75.54945906,NA,220.0000001,2.342422681,NA,0.016620881,2.342422681,-0.016620881,2
43,1,1,CHCH,KAIK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,0,0,0,0,NA,225.9999999,2.354108439,NA,0,2.354108439,0,2
44,1,1,CHCH,NELN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-24.59667859,-0.005509656,0.005509656,-24.59667859,NA,223.9999998,2.350248018,NA,0.005509656,2.350248018,-0.005509656,2
45,1,1,CHCH,AUCK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
46,1,1,CHCH,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-49.32962504,-0.011049836,0.011049836,-49.32962504,NA,223.9999998,2.350248018,NA,0.011049836,2.350248018,-0.011049836,2
47,1,1,CHCH,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-73.54372126,-0.016620881,0.016620881,-73.54372126,NA,225.9999999,2.354108439,NA,0.016620881,2.354108439,-0.016620881,2
