"","g.array","erci","erla","erte","evmu","mobe","pehe","pere","plin","plpa","scba","stmi","vuoc"
"14",0.14,0.505374253926140,0.849445378457778,0.672066291802114,1.77417549741232,0.410110182061909,0.701440210761999,0.844450952917665,0.79716787635093,0.735781527045293,1.24645608446953,0.640854704635326,1.60783125287434
"15",0.15,0.514153741278385,0.870158781369402,0.683298111793116,1.81991258053501,0.423033671351649,0.71606651984457,0.858528760671205,0.813311073459764,0.750717211566775,1.28497342234461,0.654114797116866,1.65103570359699
"16",0.16,0.522609736570819,0.890250145345933,0.694169287859855,1.86413129708024,0.435695170543412,0.73006650099753,0.872020628626083,0.829026769511999,0.765218871701039,1.32231020121608,0.666861656955053,1.69281188059738
"17",0.17,0.530762143663624,0.909758786725311,0.704699330597386,1.90692421587659,0.448112386533193,0.743481637190638,0.884963584481082,0.844340850631446,0.779312521438272,1.35854282932905,0.679130983971995,1.7332555536138
"18",0.18,0.538628250979428,0.928718737960057,0.714905240849539,1.94837107231638,0.460300509647608,0.756347719579822,0.897389830671552,0.859275901545218,0.793020675750398,1.39373722507792,0.690953540281221,1.77244920351185
"19",0.19,0.546223176332225,0.947159661901722,0.72480191282802,1.98854106000584,0.472272670705651,0.76869584461293,0.909327557401278,0.873851757363368,0.806362958845147,1.42795070802422,0.702356032663052,1.81046440185517
"20",0.2,0.553560216472867,0.965107568269722,0.734402455876518,2.02749460879745,0.484040294970155,0.780553194778914,0.920801584104016,0.88808593956596,0.81935657943095,1.46123346260547,0.713361799524905,1.84736366171752
"21",0.21,0.560651125281919,0.982585382283616,0.743718453986503,2.0652847838263,0.495613380053964,0.791943657674052,0.931833871727787,0.901994004637937,0.832016706932272,1.49362968768648,0.72399135290212,1.88320189654247
"22",0.22,0.567506337708225,0.999613401118387,0.752760177082005,2.10195840013635,0.507000716811827,0.802888322418062,0.942443936334917,0.915589825867952,0.844356772786582,1.52517851111699,0.734262811204308,1.91802758382074
"23",0.23,0.57413515188102,1.01620966406470,0.761536754501523,2.13755692062823,0.518210066849592,0.813405881762529,0.952649186313419,0.928885823346978,0.856388714277428,1.55591472576954,0.744192248433018,1.95188370327008
"24",0.24,0.58054587856954,1.03239025547128,0.770056318534645,2.17211718666218,0.529248306578291,0.823512960788257,0.962465199744797,0.941893153345514,0.868123173726142,1.58586938805392,0.753793978708289,1.98480850051054
"25",0.25,0.586745964857864,1.04816955472877,0.778326124003422,2.20567201780421,0.540121545152313,0.833224387813027,0.97190595437237,0.95462186549017,0.879569662595744,1.61507030913981,0.7630807901004,2.01683611409550
