"","g.array","erci","erla","erte","evmu","mobe","pehe","pere","plin","plpa","scba","stmi","vuoc"
"14",0.14,0.717863809858464,1.35273682411716,0.557193658835664,11.128444053355,0.947318728610954,1.21466131918632,1.10518315359747,0.8102972724586,1.01860952201133,5.00661946033928,1.80018813825533,3.49620143927112
"15",0.15,0.769139796276926,1.44936088298267,0.596993205895354,11.9233329143089,1.01498435208316,1.30142284198534,1.18412480742587,0.868175649062785,1.09136734501214,5.3642351360778,1.92877300527357,3.74593011350477
"16",0.16,0.820415782695387,1.54598494184818,0.636792752955045,12.7182217752629,1.08264997555538,1.38818436478436,1.26306646125426,0.926054025666971,1.16412516801295,5.72185081181632,2.05735787229180,3.99565878773843
"17",0.17,0.871691769113849,1.64260900071369,0.676592300014735,13.5131106362168,1.15031559902759,1.47494588758339,1.34200811508265,0.983932402271157,1.23688299101376,6.07946648755484,2.18594273931004,4.24538746197208
"18",0.18,0.92296775553231,1.7392330595792,0.716391847074425,14.3079994971707,1.21798122249980,1.56170741038241,1.42094976891104,1.04181077887534,1.30964081401457,6.43708216329337,2.31452760632828,4.49511613620573
"19",0.19,0.974243741950772,1.83585711844471,0.756191394134116,15.1028883581246,1.28564684597201,1.64846893318143,1.49989142273943,1.09968915547953,1.38239863701538,6.79469783903189,2.44311247334652,4.74484481043938
"20",0.2,1.02551972836923,1.93248117731022,0.795990941193806,15.8977772190786,1.35331246944422,1.73523045598046,1.57883307656782,1.15756753208371,1.45515646001619,7.15231351477041,2.57169734036475,4.99457348467303
"21",0.21,1.07679571478770,2.02910523617573,0.835790488253496,16.6926660800325,1.42097809291643,1.82199197877948,1.65777473039621,1.2154459086879,1.527914283017,7.50992919050893,2.70028220738299,5.24430215890668
"22",0.22,1.12807170120616,2.12572929504124,0.875590035313186,17.4875549409864,1.48864371638864,1.9087535015785,1.73671638422460,1.27332428529208,1.60067210601781,7.86754486624744,2.82886707440123,5.49403083314033
"23",0.23,1.17934768762462,2.22235335390676,0.915389582372877,18.2824438019404,1.55630933986085,1.99551502437752,1.81565803805299,1.33120266189627,1.67342992901862,8.22516054198597,2.95745194141947,5.74375950737399
"24",0.24,1.23062367404308,2.31897741277227,0.955189129432567,19.0773326628943,1.62397496333306,2.08227654717655,1.89459969188139,1.38908103850046,1.74618775201943,8.58277621772449,3.08603680843770,5.99348818160764
"25",0.25,1.28189966046154,2.41560147163778,0.994988676492257,19.8722215238482,1.69164058680527,2.16903806997557,1.97354134570978,1.44695941510464,1.81894557502024,8.940391893463,3.21462167545594,6.24321685584129
"26",0.26,1.33317564688000,2.51222553050329,1.03478822355195,20.6671103848021,1.75930621027749,2.25579959277459,2.05248299953817,1.50483779170883,1.89170339802105,9.29800756920153,3.34320654247418,6.49294553007494
"27",0.27,1.38445163329847,2.6088495893688,1.07458777061164,21.4619992457561,1.82697183374970,2.34256111557361,2.13142465336656,1.56271616831301,1.96446122102186,9.65562324494005,3.47179140949242,6.74267420430859
"28",0.28,1.43572761971693,2.70547364823431,1.11438731767133,22.25688810671,1.89463745722191,2.42932263837264,2.21036630719495,1.6205945449172,2.03721904402267,10.0132389206786,3.60037627651066,6.99240287854224
"29",0.29,1.48700360613539,2.80209770709982,1.15418686473102,23.0517769676639,1.96230308069412,2.51608416117166,2.28930796102334,1.67847292152138,2.10997686702348,10.3708545964171,3.72896114352889,7.2421315527759
"30",0.3,1.53827959255385,2.89872176596533,1.19398641179071,23.8466658286178,2.02996870416633,2.60284568397068,2.36824961485173,1.73635129812557,2.18273469002429,10.7284702721556,3.85754601054713,7.49186022700955
"31",0.31,1.58955557897231,2.99534582483084,1.2337859588504,24.6415546895718,2.09763432763854,2.68960720676971,2.44719126868012,1.79422967472976,2.25549251302510,11.0860859478941,3.98613087756537,7.7415889012432
"32",0.32,1.64083156539077,3.09196988369635,1.27358550591009,25.4364435505257,2.16529995111075,2.77636872956873,2.52613292250851,1.85210805133394,2.32825033602591,11.4437016236326,4.11471574458360,7.99131757547685
"33",0.33,1.69210755180924,3.18859394256187,1.31338505296978,26.2313324114796,2.23296557458296,2.86313025236775,2.60507457633691,1.90998642793813,2.40100815902672,11.8013172993712,4.24330061160184,8.2410462497105
