"","g.array","erci","erla","erte","evmu","mobe","pehe","pere","plin","plpa","scba","stmi","vuoc"
"14",0.14,0.695583419300717,1.26553547501804,0.806323481833238,4.62554343493443,0.709803346901974,1.13173568053268,1.15859636638700,1.00197713250265,1.00355217866544,3.16189648768268,1.18154369042049,2.92256662244406
"15",0.15,0.722846213927166,1.32574849787768,0.831887790551713,4.90227987989837,0.748925822398824,1.18725423844331,1.20387537575700,1.03889067694168,1.04426148204028,3.35931325106112,1.24258532107363,3.08443215506848
"16",0.16,0.750109008553615,1.38596152073733,0.857452099270188,5.17901632486232,0.788048297895673,1.24277279635394,1.249154385127,1.07580422138070,1.08497078541512,3.55673001443956,1.30362695172678,3.24629768769290
"17",0.17,0.777371803180063,1.44617454359697,0.883016407988663,5.45575276982626,0.827170773392523,1.29829135426457,1.294433394497,1.11271776581973,1.12568008878996,3.754146777818,1.36466858237992,3.40816322031732
"18",0.18,0.804634597806512,1.50638756645662,0.908580716707138,5.73248921479021,0.866293248889373,1.35380991217521,1.33971240386700,1.14963131025876,1.16638939216480,3.95156354119644,1.42571021303306,3.57002875294173
"19",0.19,0.83189739243296,1.56660058931626,0.934145025425613,6.00922565975415,0.905415724386223,1.40932847008584,1.38499141323700,1.18654485469779,1.20709869553964,4.14898030457488,1.48675184368621,3.73189428556615
"20",0.2,0.859160187059409,1.62681361217591,0.959709334144089,6.2859621047181,0.944538199883073,1.46484702799647,1.43027042260699,1.22345839913682,1.24780799891449,4.34639706795331,1.54779347433935,3.89375981819057
"21",0.21,0.886422981685857,1.68702663503555,0.985273642862564,6.56269854968204,0.983660675379923,1.5203655859071,1.47554943197699,1.26037194357585,1.28851730228933,4.54381383133175,1.60883510499249,4.05562535081499
"22",0.22,0.913685776312306,1.7472396578952,1.01083795158104,6.83943499464598,1.02278315087677,1.57588414381773,1.52082844134699,1.29728548801488,1.32922660566417,4.74123059471019,1.66987673564564,4.21749088343941
"23",0.23,0.940948570938755,1.80745268075485,1.03640226029951,7.11617143960993,1.06190562637362,1.63140270172836,1.56610745071699,1.33419903245391,1.36993590903901,4.93864735808863,1.73091836629878,4.37935641606383
"24",0.24,0.968211365565203,1.86766570361449,1.06196656901799,7.39290788457387,1.10102810187047,1.68692125963900,1.61138646008699,1.37111257689294,1.41064521241385,5.13606412146707,1.79195999695192,4.54122194868825
"25",0.25,0.995474160191652,1.92787872647414,1.08753087773646,7.66964432953781,1.14015057736732,1.74243981754963,1.65666546945699,1.40802612133197,1.45135451578869,5.33348088484551,1.85300162760507,4.70308748131266
"26",0.26,1.0227369548181,1.98809174933378,1.11309518645494,7.94638077450176,1.17927305286417,1.79795837546026,1.70194447882698,1.44493966577099,1.49206381916354,5.53089764822395,1.91404325825821,4.86495301393708
"27",0.27,1.04999974944455,2.04830477219343,1.13865949517341,8.2231172194657,1.21839552836102,1.85347693337089,1.74722348819698,1.48185321021002,1.53277312253838,5.72831441160238,1.97508488891135,5.0268185465615
"28",0.28,1.07726254407100,2.10851779505307,1.16422380389189,8.49985366442965,1.25751800385787,1.90899549128152,1.79250249756698,1.51876675464905,1.57348242591322,5.92573117498082,2.03612651956450,5.18868407918592
"29",0.29,1.10452533869745,2.16873081791272,1.18978811261036,8.77659010939359,1.29664047935472,1.96451404919215,1.83778150693698,1.55568029908808,1.61419172928806,6.12314793835926,2.09716815021764,5.35054961181034
"30",0.3,1.13178813332389,2.22894384077237,1.21535242132884,9.05332655435753,1.33576295485157,2.02003260710278,1.88306051630698,1.59259384352711,1.65490103266290,6.3205647017377,2.15820978087078,5.51241514443476
"31",0.31,1.15905092795034,2.28915686363201,1.24091673004731,9.33006299932148,1.37488543034842,2.07555116501342,1.92833952567698,1.62950738796614,1.69561033603775,6.51798146511614,2.21925141152392,5.67428067705917
