Z1 Z2 type_final
0 0 NA
0 0 NA
0.0789 0 NA
0.0354 0 NA
0 0.0312 C2
0 0 NA
0.0844 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.9721 0.0279 PO
0 0 NA
0.1779 0 C1r1
0.0414 0 NA
0.0315 0 NA
0 0 NA
0.0613 0 NA
0 0 NA
0.1201 0 NA
0.0828 0 C1r1
0.0455 0 NA
0 0 NA
1 0 PO
1 0 PO
0.0339 0 NA
0 0 NA
0 0 NA
0.0732 0 C2
0.0737 0 C2
0 0 NA
0.096 0 NA
0.0488 0 NA
0.1136 0 NA
0 0 NA
0.58 0.0041 G1
0.0789 0.0356 NA
0 0 NA
0.0474 0.0013 NA
0.2019 0.0253 C1
0.1594 0.0141 C1
0 0 NA
0.0599 0 NA
0.0194 0.0141 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1625 0 NA
0.1476 0 NA
0 0 NA
0.1883 0.1365 AV
0 0 NA
0 0 NA
0.1042 0 NA
0.9652 0.0348 PO
0.9687 0.0313 PO
0.1488 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0291 0 NA
0 0 NA
0 0 NA
0.0258 0 NA
0.0162 0 NA
0.0706 0 NA
0 0 NA
0 0 NA
1 0 PO
0.0131 0 NA
0 0 NA
0.2753 0 NA
0.1809 0 NA
0 0 NA
0.2087 0 C1r1
0 0.0189 NA
0 0 NA
0.9983 0.0017 PO
0 0 NA
0 0 NA
0 0 NA
0 0 NA
1 0 PO
0 0 NA
0 0 NA
0 0 NA
1 0 PO
0.0729 0 NA
0.0215 0 NA
0.0611 0 NA
0.0114 0 NA
0 0 NA
0.0755 0 NA
0.6113 0 AV
0 0 C3
0 0 NA
0 0 NA
1 0 PO
0 0.022 NA
0 0 NA
0 0 NA
0.4422 0.3096 FS
0.262 0 C1
0.2665 0 NA
0.1527 0 NA
0.0984 0 NA
0 0 NA
0.4483 0.0099 HS
0.1041 0 NA
0.0903 0 NA
0.0261 0.0259 C2
0 0 NA
0 0 NA
0 0.0094 NA
0 0 NA
0 0 NA
0 0 NA
0.9834 0.0166 PO
0.977 0.023 PO
0 0 NA
0.4127 0 AV2
0.0017 0.0207 NA
1 0 PO
0 0 NA
0.04 0.0042 NA
0.0032 3e-04 NA
0 0 NA
0.1426 0 NA
0.0821 0 NA
0.1378 0.026 C1r1
0.1483 0 NA
0.1233 0 NA
0 0 NA
0.0399 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0634 0 NA
0.0262 0 NA
0 0 NA
0.0848 0 NA
0.0314 0.0045 NA
0.043 0 NA
0 0 NA
0.9813 0.0187 PO
0.0721 0 NA
0.0151 0.0057 NA
0 0 NA
0.9775 0.0225 PO
0 0 NA
0 0 NA
0.0327 0.0034 NA
0 0 NA
0.0145 0 NA
0 0 NA
0.126 0 NA
0 0 NA
0.0867 0 NA
0 0 NA
0.0273 0 C2r1
0.461 0.0052 G1
0.0431 0 NA
0.0303 0 NA
0 0 NA
0 0 NA
0.2436 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1563 0 NA
0.1046 3e-04 NA
0.0778 0 NA
0 0 NA
0.2975 0 AV2
0.1139 0 NA
0.0255 0 NA
0 0 NA
0.0181 0.0074 C3
0 0 NA
0.3605 0 AV2
0.9991 9e-04 PO
0.5139 0.2863 FS
0 0.0219 C4
0.0333 0.033 NA
0 0 NA
0.4129 0 HS
0 0 NA
0.0144 0.0026 NA
0 0.0077 NA
0.4781 0 AV
0.3165 0.0276 C1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.6341 0 G1
0.467 0 G1
0.0579 0 NA
0 0 NA
0.1589 0 NA
0.1194 0 NA
0 0 NA
0 0 NA
1 0 PO
1 0 PO
0 0 NA
0 0 NA
0.666 0.0519 HS
0 0 NA
0.996 0.004 PO
0 0 NA
0 0.0138 NA
0 0 NA
0 0 NA
0 0 NA
0.1445 0 NA
0.1996 0 NA
0.0934 0 NA
0.0586 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0524 0 NA
0 0 NA
0.6575 0 G1
0.2459 0 NA
0 0 NA
0.0808 0 NA
0.0465 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0916 0 NA
0 0 NA
0.0261 0.0056 NA
0.4433 0.0543 GAV
0.0141 0.0119 NA
0 0 NA
0 0 NA
0 0 NA
0.0044 0.0038 NA
0 0 NA
0.9727 0.0273 PO
0.9889 0.0111 PO
0.0618 0 NA
0 0 NA
0.5369 0 G1
0.0232 0 NA
0 0 NA
0 0.0169 NA
0 0 NA
0.1033 0 NA
0.0306 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0294 0 NA
0.052 0 NA
0.0496 0 NA
0.0367 0 NA
0.7169 8e-04 AV
0 0.0283 NA
0 0 NA
0.0601 0 NA
0.9821 0.0179 PO
0 0 NA
0.1511 0 NA
0.2401 0.01 GAV
0.152 0 NA
0 0 NA
0.0667 0 NA
0 0 NA
0.0957 0 NA
0.0653 0.0022 NA
0.068 0 NA
0.0045 0.0072 NA
0.0853 0 NA
0.0659 0 NA
0 0 NA
0.0274 0.0123 NA
0.0046 0.0025 NA
0.164 0.0247 GAV
0 0.0086 NA
0 0 C2r1
0.0874 0.029 NA
0 0 NA
0 0 NA
1 0 PO
0.376 0 HS
0 0 NA
0 0 NA
0.5062 0.2756 FS
0.1783 0 NA
0.0684 0 NA
0.0591 0 NA
0.3859 0.2951 FS
0.3708 0 GAV
0.0955 0 NA
0 0 NA
0 0 NA
0.0126 0 NA
0 0 NA
0.9955 0.0045 PO
1 0 PO
0.2591 0 G3
0.09 0 NA
0.0763 0 NA
0.0879 0 NA
0 0 NA
0.0519 0 NA
0 0.0233 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.9809 0.0191 PO
0 0 NA
0.499 0.2599 FS
0.0275 0 NA
0 0 NA
0.5042 0.2093 FS
0 0.0344 C0.5
0.0941 0.0059 NA
1 0 PO
0.2665 0 C1
0.5241 0.2865 FS
0 0 NA
0.5435 0 HS
0 0 NA
0 0 NA
0 0 NA
0.0796 0 NA
0 0 NA
0.0914 0 NA
0 0 NA
0 0 NA
0.117 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0312 0.0134 NA
0 0.0174 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0399 0 NA
0 0 NA
0.0941 0.0139 G3
0 0 NA
0.8672 0.1328 PO
0 0 NA
0.2459 0 C1
0.1734 0 NA
0 0 NA
0.1079 0.0581 AV2
0 0 NA
