Z1 Z2 type_final
0.0758 0 NA
0.1031 0 NA
0 0 NA
0 0 NA
0.0507 1e-04 NA
0.0114 0.0023 NA
0.4223 0.0098 AV
0.0315 0 NA
0 0 NA
0.0736 0.0054 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1405 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1587 0 NA
0.0239 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0192 NA
0 0 NA
0 0 NA
0.2312 0 GAV
0 0 NA
0 0.0385 NA
0 0 C2
0 0 NA
0.2614 0 NA
0 0 NA
0 0 C2
0 0 NA
0.1287 0 NA
0.0256 0.0176 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.097 0 NA
0.0624 0 NA
0 0 NA
0.0567 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0336 0 NA
0.0245 0 NA
0.0765 0 NA
0 0 NA
0.0426 0 C2r1
0 0 C2r1
0 0 NA
0 0.0083 NA
0 0 NA
0.1604 0 NA
0 0 NA
0.0638 0 NA
0 0 NA
0.0039 0.0206 C3
0.0482 0 NA
0.0456 0 NA
0.0283 0 NA
0.0225 0 NA
0 0 NA
0.1812 0 NA
0.0107 0.0251 NA
0.0481 0.0051 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0446 0.0301 NA
0 0.0428 NA
0 0.0199 NA
0 0 C2
0.0811 0 NA
0 0.0094 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.058 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0273 0 NA
0 0 NA
0.0854 0 NA
0 0.0089 NA
0 0 NA
0 0 NA
0 0 NA
0.1539 0 C1r1
0.1348 0 NA
0.1133 0 NA
0 0 NA
0.0485 0.0048 NA
0.0272 0.0127 NA
0 0 NA
0 0 NA
0.1884 0.0147 C1r1
0.0986 0 NA
0.0471 0 NA
0 0 NA
0.9708 0.0292 PO
0.0255 0 NA
0 0 NA
0.0114 0 NA
0.1979 0 NA
0.1394 0 NA
0 0.0128 NA
0.0277 0.0044 NA
0.0141 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2787 0 AV2
0 0 NA
0 0.0153 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0134 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2448 0.0382 AV2
1 0 PO
0 0 NA
0.0289 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1125 0 NA
0 0 NA
0 0 NA
0.0713 0.0021 NA
0 0 NA
0.0652 0 NA
0.02 0 NA
0 0 NA
0 0 NA
0.0594 0 NA
0.0487 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0726 0 NA
0.068 0 NA
0.0405 0 NA
0.0209 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.043 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0365 0 NA
0 0 NA
0 0 NA
0.004 0.0022 NA
0 0 NA
0.1265 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0489 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0904 0 NA
0.0694 0 NA
0 0 NA
0 0 NA
0 0 C3
0.0669 0 NA
0 0.0197 NA
0.0173 0 NA
0 0.0348 NA
0.0243 0.0175 NA
0 0 NA
0 0 NA
0.0314 0 NA
0.0162 0.0175 NA
0 0 NA
0 0 NA
0.0653 0 C2r1
0.0585 0 NA
0.4392 0 NA
0 0.0348 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1191 0 NA
0 0 NA
0 0 NA
0.0619 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0407 0 NA
0 0 NA
0.019 0 NA
0.0112 0.0033 NA
0 0 NA
0 0 NA
0.0014 0.006 NA
0 0 NA
0 0.02 NA
0 0 NA
0.09 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.091 0 C0.5
0.0835 0 NA
0.0951 0 NA
0.0936 0 NA
0 0 NA
0 0 NA
0.0452 0 NA
0.0325 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0178 NA
0 0 NA
0 0 NA
0.0192 0 NA
0 0 NA
0.0019 0 NA
0 0 NA
0.0232 0.0071 NA
0 0 NA
0.303 0.0026 G2
0.1117 0.0029 NA
0.0249 0.001 NA
0 0 NA
0 0 NA
0.0794 0 NA
0 0 NA
0.0499 0.0066 NA
0.2226 0.0176 GAV
0 0 NA
0 0 NA
0.0624 0 NA
0 0 NA
0 0 NA
0.5136 0.0176 AV
0.0418 0 NA
0.005 0 NA
0 0 NA
0.027 0.0134 NA
0.1224 0 NA
0.0065 0.005 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0274 NA
0.0426 0 NA
0 0 NA
0 0 NA
0.1277 0 NA
0.0904 0 NA
0.0836 0 NA
0.0053 0.0052 NA
0 0.0069 NA
0 0 NA
0.0509 0 NA
0.0186 0 NA
0.0318 0.0078 NA
0 0 NA
0 0 NA
0 0 NA
0.0353 0.0011 NA
0.0057 0 NA
0.0046 0.0158 NA
0.0013 0.0109 NA
0 0 C3
0 0 NA
0.1012 0.0078 NA
0.0474 0 NA
0 0 NA
0.0804 0 NA
0 0 NA
0.4306 0 AV
0.1204 0 NA
0.0124 0.0049 NA
0 0 NA
0 0 NA
0.0623 0 NA
0 0 NA
0 0 NA
0.0674 0 NA
0.0421 0.011 NA
0 0 NA
0 0 NA
0 0 NA
0.0187 0.0083 NA
0 0 NA
0.1404 0 NA
0.0084 0.0152 NA
0 0 NA
0.1193 0.0155 C1r1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0341 NA
0 0 NA
0 0 NA
0 0 NA
0.0689 0 NA
0 0 NA
0 0 NA
0.0439 0.0041 NA
0 0 NA
0 0 NA
0 0 NA
0.0625 0 NA
0.0439 0 NA
0 0 NA
0.2501 0 G2
0 0 NA
0.1652 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0542 0 NA
0 0 NA
0.1565 0 NA
0 0 NA
0.1417 0 NA
0.0373 0 NA
0 0 NA
0 0 NA
0.47 0.2809 FS
0.2027 0 C0.5
0 0 NA
0 0 NA
0.1248 0 NA
0 0 NA
0 0 NA
0.2098 0 NA
0.1157 0 NA
0.0512 0 NA
0 0 NA
0.025 0.007 C0.5
0 0 NA
0 0 NA
0 0.036 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0752 0 NA
0.0611 0 NA
0.0502 0 NA
0.2665 0.0102 AV2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1063 0 NA
0 0 NA
0.0861 0 NA
0 0 NA
0 0 NA
0.1204 0 NA
0.0342 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1345 0 NA
0 0 NA
0.0238 0.0106 NA
0 0 NA
0 0 NA
0 0.0137 NA
0 0 NA
0 0 NA
0.0599 0 NA
0 0 NA
0 0 NA
0.0438 0 NA
0.0128 0.0043 NA
0 0 NA
0.5883 0 AV
0 0 NA
0 0 NA
0.1559 0 NA
0.1543 0 NA
0.0301 0 NA
0.0238 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0987 0.0106 NA
0 0.0182 NA
0.0179 0 NA
0 0 NA
0.0099 0.0124 NA
0 0 NA
0.1133 0 NA
0.0491 0 NA
0 0 NA
0 0 NA
0.0133 0.0025 NA
0 0 NA
0.2389 0 NA
0.1115 0 NA
0.0871 0 NA
0.04 0 NA
0 0 NA
0 0 NA
0.1312 0 NA
0 0 NA
0.088 0.003 NA
0 0 NA
0 0 NA
0.0783 0 NA
0 0 NA
0.0778 0 NA
0 0 NA
0 0 NA
0.1631 0 NA
0.0501 0 NA
0.0439 0 NA
0 0 NA
0 0 NA
0.0332 0.0113 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.283 0 C1
0.2504 0 C1
0.0252 0.0036 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0437 NA
0 0 NA
0 0 NA
0.1106 0 NA
0.0494 0 NA
0 0 NA
0.0437 0 NA
0 0 NA
0 0.0193 NA
0.0436 0 NA
0.1449 0 NA
0 0 NA
0 0 C2r1
0 0 NA
0 0 NA
0.1542 0.0034 C1
0.0296 0 NA
0.1194 0 NA
0.0518 0 NA
0.0386 0 NA
0 0 NA
0.0779 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.009 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1559 0 NA
0.1315 0 NA
0.073 0 NA
0.0369 0 NA
0.0348 0 NA
0 0 NA
0 0 NA
0.2444 0 NA
0 0.0212 NA
0.0553 0 NA
0.0444 0 NA
0 0 NA
0 0 NA
0.0403 0 NA
0.0567 0 NA
0 0 NA
0.061 0 NA
0 0 NA
0.0088 0 NA
0.0778 0 NA
0.0159 0.0067 NA
0.052 0.0249 NA
0.0347 0 NA
0 0 NA
0 0 NA
0.2205 0 C1r1
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0488 0.0169 NA
0 0 NA
0 0 NA
0 0 NA
0.0121 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1147 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0165 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 C4
0.1153 0 NA
0.0523 0 NA
0.0553 0 NA
0.2222 0.0378 GAV
0.0284 0 NA
0 0 NA
0.0676 0 NA
0 0 NA
0.0339 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1421 0 NA
0.0484 0 NA
0.1021 0 NA
0.0787 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0298 0 NA
0.1631 0 NA
0.0898 0 NA
0 0 NA
0.0511 0 NA
0 0 NA
0.1084 0 NA
0.0799 0 NA
0.0012 0.0215 NA
0 0 NA
0.0887 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0348 0 NA
0.0778 0 NA
0 0 C3
0.0334 0.0107 NA
0 0 NA
0 0.0348 NA
0.0622 0 C2
0 0 NA
0 0 NA
0.0459 0.0172 NA
0.0365 0 NA
0 0 NA
0 0 NA
0.3765 4e-04 AV
0.0769 0 NA
0.0129 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0108 NA
0 0 NA
0.1143 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0208 0 NA
0 0 NA
0.0525 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1187 0 NA
0.0813 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1406 0 NA
0 0 NA
0 0 NA
0.0813 0 NA
0.0548 0.0369 C1r1
0.0879 0 NA
0.1194 0 NA
0 0 NA
0.0668 0 NA
0.1618 0 C2
0 0 NA
0.2074 0 NA
0.1292 0 NA
0.0507 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1139 0.005 NA
0 0 NA
0.1239 0 NA
0.0099 0.0114 NA
0.007 0.0128 NA
0.1485 0 NA
0.0134 0 NA
0.0914 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1516 0 NA
0.1222 0 NA
0 0 NA
0.0248 0.0259 NA
0.3556 0 GAV
0.3553 0 GAV
0.0119 0.0088 NA
0 0 NA
0 0 NA
0 0 NA
0.077 0 NA
0.0324 0.0029 NA
0 0 NA
0 0 NA
0 0 NA
0.1994 0 NA
0.0077 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0175 NA
0 0 NA
0 0 NA
0 0 NA
0.1332 0.0466 C1
0.1794 0 NA
0.072 0.005 NA
0.0698 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0459 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2594 0.0015 NA
0.0298 0 NA
0 0 NA
0.0497 0.0028 NA
0.0468 0 NA
0 0.0188 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.028 0 NA
0 0 NA
0.1088 0 NA
0.0475 0 NA
0.0849 0 NA
0 0 NA
0.0762 0 NA
0 0 NA
0 0 NA
0.5375 0 AV
0.0203 0.0022 NA
0.0846 0 NA
0.0428 0 NA
0.0325 0 NA
0.0146 0.0035 NA
0 0.0369 NA
0.0443 0 NA
0.0143 0 NA
0 0 NA
0 0 NA
0.0341 0 NA
0.0401 0 NA
0 0 NA
0.1255 0 NA
0.0613 0.0066 NA
0.0495 0 NA
0 0 NA
0 0 NA
0.0531 0.0095 NA
0.0918 0 NA
0.0838 0 NA
0 0.0246 NA
0.0457 0 NA
0 0 NA
0.0549 0 NA
0.0223 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0226 0 NA
0 0.009 NA
0 0 NA
0 0 NA
0 0.011 NA
0.1911 0 NA
0.1625 0 NA
0.1094 0 NA
0.0345 0.0238 NA
0.0664 0 NA
0.0504 0 NA
0 0 NA
0 0 C3
0.6451 0 G1
0.3852 0 G1
0 0 NA
0 0 NA
0.0536 0 NA
0.0497 0 NA
0 0 NA
0.1201 0 NA
0.1075 0 NA
0.0135 0.0351 NA
0.2124 0 NA
0 0 NA
0.053 0.0037 NA
0.1003 0 NA
0.0749 0 NA
0.0417 0 NA
0 0.0278 NA
0.0857 0 NA
0 0 NA
0.0721 0 NA
0.0626 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0597 0.0075 NA
0 0 NA
0 0 NA
0 0 NA
0.011 0 NA
0 0 NA
0 0 NA
1 0 PO
0 0 NA
0.1117 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0359 8e-04 NA
0.0257 0 NA
0.0111 0.0023 NA
0 0 NA
0.0648 0 NA
0.0461 0 NA
0.0411 0 NA
0.0207 0 NA
0 0 NA
0 0 NA
0.0794 0 NA
0.0943 0 NA
0.0405 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0327 0 NA
0.012 0.0051 NA
0.0823 0 NA
0 0 NA
0 0 NA
0.0357 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0248 0 NA
0.0188 0 NA
0.0775 0 NA
0 0 NA
0.0777 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0376 0 NA
0 0.0224 NA
0 0 NA
0.1062 0 C2
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0274 NA
0 0 NA
0.0512 0 NA
0 0 NA
0.0652 0.0058 NA
0 0 NA
0 0 NA
0 0 NA
0.0528 0 NA
0 0 NA
0.0272 0.0113 NA
0.0839 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0179 0.0246 NA
0.0669 0 NA
0 0 NA
0 0 NA
0.046 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0167 0 NA
0 0 NA
0 0 NA
0.4622 0.036 G1
0 0 NA
0.0922 0 NA
0.1129 0 NA
0.1489 0 NA
0.0946 0 NA
0 0.0188 NA
0.0224 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0501 0 NA
0 0 NA
0.05 0 NA
0 0 NA
0 0.0244 NA
0.001 0.0069 NA
0.016 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.04 0 NA
0.0416 0.0018 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0256 NA
0 0.0023 NA
0 0 NA
0.0139 0.0077 NA
0.0465 0 NA
0 0 NA
0 0 NA
0 0 NA
0.105 0 NA
0.0246 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1088 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0096 NA
0 0 NA
0 0.0119 NA
0 0 NA
0.0289 0 NA
0 0 NA
0 0 NA
0.2019 0.0318 GAV
0.092 0.0057 C1r1
0 0 NA
0 0 NA
0.1916 0.0061 NA
0 0.0474 NA
0 0.0339 NA
0 0 NA
0.4404 0 AV
0.0863 0 NA
0.1029 0 NA
0 0.0206 NA
0 0 NA
0 0 NA
0 0 NA
0.0192 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0199 NA
0.0397 0 NA
0 0 NA
0 0 NA
0.2456 0 NA
0 0 NA
0.0285 0.0093 NA
0 0 NA
0.0772 0 NA
0.0251 0 NA
0 0 NA
0.0438 0 NA
0 0 NA
0 0 NA
0.09 0 NA
0 0 NA
0.0724 0 NA
0.0445 0 NA
0.015 0.009 NA
0 0.0024 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.5433 0 G1
0.0397 0.0021 NA
0 0 NA
0 0 NA
0.0037 0.0072 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0158 NA
0.0235 0 NA
0.2353 0 NA
0.0759 0 NA
0 0 NA
0 0 NA
0.0111 0.0253 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0226 0 NA
3e-04 6e-04 NA
0 0.02 NA
0.2059 0 NA
0.0789 0 NA
0.1027 0 NA
0.0126 0.0246 NA
0.0543 0 NA
0.0087 0.005 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1039 0 NA
0.0329 0.0138 NA
0 0 NA
0 0 NA
0 0 NA
0.0598 0.0118 NA
0.0204 0 NA
0.1897 0 NA
0 0 NA
0.1342 0 NA
0.1073 0 NA
0 0 NA
0 0.0444 NA
0.0109 0.0049 NA
0 0 NA
0.0824 0 NA
0.0046 0.0292 NA
0 0 NA
0 0 NA
0 0 NA
0.0792 0.012 NA
0 0 NA
0 0 NA
0.0205 0.0046 NA
0 0 NA
0.0316 0.0277 NA
0 0 NA
0 0 NA
0.0468 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
8e-04 0 NA
0 0 NA
0 0 NA
0 0 NA
0.4286 0 HS
0 0 NA
0.1567 0 NA
0.106 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0859 0 NA
0 0 NA
0 0 NA
0.0477 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0577 0 NA
0 0 NA
0.0351 0.0068 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2365 0 NA
0.0549 0 NA
0 0 NA
0.0742 5e-04 NA
0.0474 0 NA
0 0 NA
0 0.027 NA
0 0 NA
0 0 NA
0.2879 0.0082 C1
0 0 NA
0.073 0 NA
0.0382 0 NA
0.0615 0 NA
0.0123 0 NA
0.0315 0.0107 NA
0 0 NA
0.1779 0 NA
0.1661 0 NA
0 0 NA
0.0961 0 NA
0 0 NA
0 0 NA
0.0656 0 NA
0 0 NA
0 0 NA
0.0146 0 NA
0 0 NA
6e-04 0.0066 NA
0 0 NA
0.2329 0.0089 NA
0 0.0278 NA
0.0845 0.0267 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0217 0.0036 NA
0.0126 0 NA
0 0 NA
0.0474 0.0019 NA
0 0 NA
0.0625 0 NA
2e-04 0.0037 NA
0 0 NA
0.1529 0 NA
0 0 NA
0 0 NA
0.0358 0 NA
0 0 NA
0 0 NA
0 0 NA
0.3788 0 AV
0.081 0 NA
0.0524 0 NA
0 0 C4
0.0189 0.0116 NA
0 0 NA
0.0051 0.0091 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0897 0 NA
0.0805 0 NA
0 0 C2r1
0 0 C2r1
0.1643 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2163 0 NA
0 0 NA
0.0363 0 NA
0 0 NA
0.0839 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0574 0 NA
0.0069 0 NA
0 0 NA
0.0431 0 NA
0.1276 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1072 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.021 NA
0 0.0168 NA
0.0124 0 NA
0 0 NA
0.0059 0.0159 NA
0 0 NA
0.0656 0 NA
0.0441 0.0298 NA
0 0.0162 NA
0.0881 0 NA
0.0815 0 NA
0.0365 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.14 0 NA
0.0968 0 NA
0 0 NA
0 0 C4
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2702 0 C1r1
0.1204 0 NA
0 0 NA
0.042 0.0023 NA
0 0 NA
0 0 NA
0.0855 0 NA
0.0643 0 NA
0.057 0 C3
0.0287 0 NA
0 0 NA
0 0 NA
0.0449 0.0019 NA
0.018 0.0205 NA
0.0411 7e-04 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1927 0 NA
0.0776 0 NA
0.0198 3e-04 NA
0 0 NA
0.1149 0 NA
0.0485 0 NA
0.0623 0 NA
0 0 NA
0.1268 0 C1r1
0 0 NA
0 0 NA
0.0608 0 NA
0.0588 0 NA
0.0507 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2536 0 C1r1
0 0 NA
0 0 NA
0.2048 0 C0.5
0.1105 0 C0.5
0.0709 0 NA
0 0 NA
0.0612 0 NA
0 0.0036 NA
0.09 0 NA
0 0 NA
0.0886 0 NA
0.0433 0.0102 NA
0.0486 0 NA
0.015 0 NA
0.0936 0 NA
0.0765 0 NA
0 0 NA
0 0 NA
0.1085 0 NA
0.0173 0 NA
0 0 NA
0.0118 0 NA
0 0 NA
0 0 NA
0 0.0291 NA
0 0.0199 NA
0.0175 0 NA
0.0429 0.0567 NA
0.1215 0 NA
0.0704 9e-04 NA
0.0337 0 NA
0.0592 0 NA
0.0264 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0702 0 NA
0 0 NA
0.0396 0.004 C4
0.0221 0.0034 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0121 0.0256 NA
0 0.0096 C3
0 0 NA
0 0.0352 NA
0 0.0206 NA
0.003 0.0017 NA
0 0 NA
0.0574 0 NA
0.0803 0.0028 NA
0.1636 0 NA
0.1364 0 NA
0.0739 0 NA
0.008 0 NA
0.1598 0 NA
0 0 NA
0 0 NA
0.113 0 NA
0 0 C2r1
0 0 NA
0 0 NA
0.0176 0 NA
0 0 NA
0.0491 0 NA
0 0 NA
0 0 NA
0.0545 0 NA
0.0539 0 NA
0.0159 0.0061 NA
0.0339 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1093 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0993 0 NA
0 0 NA
0.0339 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0768 0 NA
0 0 NA
0.0017 0.0084 NA
0 0 NA
0 0 NA
0.088 0.0018 NA
0.0611 0.0074 NA
0.0122 0 NA
0.078 0 NA
0 0 NA
0 0 NA
0.1302 0.0276 NA
0 0 NA
0.0766 0 NA
0.0115 0 NA
0 0 NA
0.0774 0 NA
0.0773 0 NA
0 0 NA
0 0 NA
0.0386 0 NA
0 0.0172 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1295 0 C2r1
0 0 NA
0.0618 0 NA
0.0266 0.0011 NA
0.0317 0 NA
0.2378 0.0022 G2
0.0238 0 NA
0 0.0226 NA
0.0317 7e-04 NA
0 0 NA
0 0 NA
0.0751 0 NA
0 0 NA
0.0286 0.0118 NA
0.0246 0 NA
0 0 NA
0 0 NA
0 0 C2r1
0.1415 0 NA
0 0 NA
0.1205 0 C0.5
0.006 0 NA
0.2773 0.0203 AV2
0.0134 0 NA
0.0797 0 NA
0 0 NA
0.0834 0 NA
0.0034 0.0034 NA
0 0 NA
0.0886 0 NA
0.0038 0.0098 NA
0 0 NA
0 0 NA
0 0 NA
0.1102 0.0038 NA
0.0977 0 NA
0 0 NA
0 0 NA
0 0.0175 NA
0 0 NA
0 0 NA
0.07 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1946 0 NA
0 0 NA
0 0 NA
0.012 0.011 NA
0.0247 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0.0401 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0413 0 NA
0.041 0 NA
0.0027 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0789 0 NA
0.0409 0 NA
0.3268 0 C1
0.0739 0 NA
0.0636 0 NA
0.0303 0.0065 NA
0.0855 0 NA
0.0738 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1087 0.0099 NA
0.0479 0.0293 NA
0.1061 0 NA
0.074 0 C0.5
0.0187 0.0085 NA
0.0567 0.015 NA
0 0 NA
0 0.021 NA
0.004 0.0259 NA
0.019 0 NA
0 0 NA
0.211 0.0024 NA
0.0809 0 NA
0.0519 0 NA
0 0 NA
0.1208 0 C2r1
0 0 NA
0.1455 0.0114 NA
0 0 NA
0.0315 0 NA
0.0338 0 NA
0 0 NA
0 0 NA
0.1009 0 NA
0.0564 0 NA
0.0479 0 NA
0 0 NA
0 0 NA
0.0902 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0979 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1215 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0978 0 NA
0.0724 0 NA
0 0 NA
0 0 NA
0.0746 6e-04 C2r1
0.0717 0 NA
0.0513 0 NA
0 0 NA
0 0 NA
0.4812 0 AV
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0631 0.0054 NA
0 0 NA
0.0629 0 NA
0.1842 0 NA
0.0918 0 NA
0 0 NA
0 0 NA
0.0852 0.0028 NA
0.0188 0.0035 NA
0.0116 0 NA
0.0579 0 NA
0 0 NA
0.0676 0 NA
0.0365 0 NA
0.0295 0 NA
0 0 NA
0 0 NA
0.0244 0 C2r1
0 0.0308 NA
0 0 NA
0 0 NA
0 0 NA
0.0547 0.0228 NA
0.0782 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0047 0.0226 NA
0.0424 0 NA
0 0 NA
0 0 NA
0.0032 1e-04 NA
0 0 NA
0.3151 0 NA
0.0828 0 NA
0 0.022 NA
0.0801 0 NA
0.0774 0 C3
0.0178 0.016 NA
0 0 NA
0 0 NA
0.1117 0 NA
0 0 NA
0.0533 0 NA
0 0.0148 NA
0.0527 0 NA
0.0464 0 NA
0 0 NA
0 0 NA
0.0767 0 NA
0 0.0358 NA
0 0 NA
0.1832 0 NA
0.0061 0 NA
0 0 NA
0.0146 0 NA
0 0 NA
0 0 NA
0.0106 0.0297 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.2004 0 NA
0.0423 0.0108 NA
0.0037 0.0203 NA
0.0566 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.0775 0 NA
0 0 NA
0.0458 0 NA
0 0 NA
0.0099 0 NA
0 0 NA
0.0116 0.0167 NA
0 0 NA
0.0781 0.0153 NA
0.0748 0 NA
0.019 0 NA
0 0 NA
0.064 0 NA
0.0268 0 NA
0.1218 0 NA
0.0403 0.0171 NA
0.0384 0 NA
0.0215 0 NA
0.0523 0 NA
0.0564 0 NA
0.0319 0 NA
0 0 NA
0 0 NA
0.1368 0 NA
