reversals,stripes
0.627279065,-0.263809719
0.62767275,-0.307246258
0.628263277,-0.372401066
0.639827763,-0.448349395
0.640123026,-0.480926799
0.641008817,-0.578659012
0.64130408,-0.611236416
0.641500923,-0.632954685
0.64209145,-0.698109494
0.642583555,-0.752405167
0.642780398,-0.774123437
0.645044084,-1.023883535
0.645339348,-1.056460939
0.646520402,-1.186770556
0.330834529,-1.156095961
0.330244002,-1.090941152
0.340332171,-1.004002461
0.339643223,-0.927988518
0.338363748,-0.786819766
0.339249539,-0.884551979
0.336887431,-0.623932746
0.336100062,-0.537059668
0.335607956,-0.482763994
0.335214271,-0.439327455
0.334131638,-0.319876974
0.353717449,-0.080844782
0.353028501,-0.004830839
0.353028501,-0.004830839
0.341267172,0.09283576
0.35037113,0.288365799
0.348993234,0.440393685
0.347320074,0.624998975
0.346434283,0.722731187
0.34613902,0.755308591
0.344564281,0.929054747
0.342989543,1.102800902
0.339741644,1.461152348
0.357900349,3.057641993
0.061800287,3.32734878
0.035177363,2.66474472
0.092704531,2.31758048
0.033356572,1.665638712
0.03660447,1.307287267
0.062686078,0.829616568
0.042017634,0.710034857
0.042706582,0.634020914
0.043297109,0.568866106
0.023711298,0.329833914
0.035275784,0.253885585
0.025679721,0.11265122
0.026270248,0.047496412
0.027057617,-0.039376666
0.02725446,-0.061094935
0.028533935,-0.202263687
0.051170802,-0.299864671
0.085372155,-0.473413984
0.107713758,-0.538437564
0.053631331,-0.571343039
0.054517121,-0.669075251
0.077252409,-0.77753537
0.034340783,-0.842952635
0.035128153,-0.929825713
0.03571868,-0.994980521
0.048267377,-1.179520197
0.058257125,-1.08172237
-0.234595038,-1.170367029
-0.256936641,-1.105343449
-0.236071355,-1.007480008
-0.236366619,-0.974902604
-0.237744515,-0.822874718
-0.238531884,-0.73600164
-0.239220832,-0.659987697
-0.239909781,-0.583973754
-0.24069715,-0.497100677
-0.24069715,-0.497100677
-0.241484519,-0.410227599
-0.24237031,-0.312495387
-0.243059258,-0.236481444
-0.222292393,-0.127758868
-0.223276604,-0.019167521
-0.223473447,0.002550748
-0.246405577,0.132729137
-0.247389789,0.241320484
-0.247685052,0.273897888
-0.248964527,0.415066639
-0.249555054,0.480221448
-0.250637687,0.599671929
-0.251129793,0.653967603
-0.252015583,0.751699815
-0.254771376,1.055755587
-0.255263482,1.110051261
-0.25683822,1.283797416
-0.260282961,1.663867131
-0.250391634,1.772524093
-0.255509535,2.337199098
-0.261513225,2.999606315
-0.275735083,3.368751282
-0.583399631,3.714406397
-0.574049621,2.6827886
-0.549050646,2.324568382
-0.556875128,1.987869592
-0.542948534,1.65130203
-0.541373795,1.477555875
-0.539503793,1.271232315
-0.548410908,1.053984007
-0.547820381,0.988829198
-0.536354316,0.923740004
-0.567603035,0.771515276
-0.533204839,0.576247693
-0.531826943,0.424219807
-0.531039574,0.33734673
-0.541423006,0.282985442
-0.551412754,0.185187615
-0.550428542,0.076596268
-0.549739594,0.000582325
-0.549345909,-0.042854214
-0.548263277,-0.162304696
-0.547475907,-0.249177773
-0.547475907,-0.249177773
-0.535813,-0.335985237
-0.535222473,-0.401140045
-0.545310642,-0.488078737
-0.54432643,-0.596670084
-0.543342219,-0.705261431
-0.54265327,-0.781275374
-0.541865901,-0.868148452
-0.541472217,-0.911584991
-0.540389584,-1.031035473
-0.54009432,-1.063612877
-0.54009432,-1.063612877
-0.539306951,-1.150485954
-0.854795981,-1.141529629
-0.855681772,-1.043797416
-0.856961247,-0.902628665
-0.858043879,-0.783178183
-0.858240722,-0.761459914
-0.848447816,-0.641943818
-0.848841501,-0.598507279
-0.839540701,-0.42469551
-0.839540701,-0.42469551
-0.829354111,-0.348615952
-0.841017019,-0.261808489
-0.840820176,-0.283526758
-0.839639122,-0.413836375
-0.831716219,-0.087996719
-0.865523888,0.042116055
-0.865917572,0.085552594
-0.834570433,0.226918187
-0.834964117,0.270354726
-0.847217552,0.422316998
-0.848890712,0.606922288
-0.849481238,0.672077097
-0.84957966,0.682936231
-0.850760714,0.813245848
-0.840869387,0.921902809
-0.842640968,1.117367234
-0.833241747,1.280319869
-0.833930695,1.356333812
-0.847365184,1.6386057
-0.861390199,1.986032397
-0.864736518,2.355242977
-0.865228624,2.409538651
-0.845938077,2.681148247
-0.846528604,2.746303055
-0.849382817,3.061217962
-1.193463195,2.624752922
-1.147106828,2.310100472
-1.144547878,2.027762969
-1.170875538,1.332581505
-1.169103957,1.13711708
-1.167430798,0.95251179
-1.165462374,0.735329096
-1.164576584,0.637596883
-1.151929465,0.442198073
-1.150059463,0.235874513
-1.150059463,0.235874513
-1.158868157,0.00776707
-1.157785524,-0.111683412
-1.156407628,-0.263711298
-1.156998155,-0.19855649
-1.156309206,-0.274570433
-1.154832889,-0.437457453
-1.142284191,-0.621997129
-1.141595243,-0.698011072
-1.141103137,-0.752306746
-1.140020504,-0.871757228
-1.139233135,-0.958630306
-1.138642608,-1.023785114
-1.127274964,-1.078015173
-1.126782858,-1.132310847
0.292794751,-0.559040394
0.365872463,-0.221947919
0.072036088,-0.20200123
0.020118926,-0.473807669
-0.263235596,-0.410358827
-0.52306746,-0.542243182
-0.82758253,-0.544080377
0.040787369,-0.354225959
0.355685872,-0.298027476
0.616206684,-0.242157064
0.951379947,-0.022940332
